"Canada Mortgage and Housing Corporation, conventional mortgage lending rate, 5-year term" 1 2
"Monthly"
"Table: 34-10-0145-01 (formerly CANSIM 027-0015)"
"Geography: Canada"

"Reference period","Canada"
"","Percent"
"January 2000","8.34"
"February 2000","8.43"
"March 2000","8.24"
"April 2000","8.23"
"May 2000","8.50"
"June 2000","8.34"
"July 2000","8.18"
"August 2000","8.08"
"September 2000","8.08"
"October 2000","8.08"
"November 2000","8.04"
"December 2000","7.81"
"January 2001","7.58"
"February 2001","7.52"
"March 2001","7.19"
"April 2001","7.22"
"May 2001","7.38"
"June 2001","7.47"
"July 2001","7.46"
"August 2001","7.39"
"September 2001","7.03"
"October 2001","6.74"
"November 2001","6.51"
"December 2001","6.64"
"January 2002","6.62"
"February 2002","6.59"
"March 2002","6.80"
"April 2002","7.00"
"May 2002","7.00"
"June 2002","6.98"
"July 2002","6.90"
"August 2002","6.61"
"September 2002","6.49"
"October 2002","6.50"
"November 2002","6.47"
"December 2002","6.39"
"January 2003","6.26"
"February 2003","6.29"
"March 2003","6.33"
"April 2003","6.44"
"May 2003","6.10"
"June 2003","5.62"
"July 2003","5.71"
"August 2003","5.87"
"September 2003","5.97"
"October 2003","5.83"
"November 2003","6.02"
"December 2003","6.00"
"January 2004","5.78"
"February 2004","5.51"
"March 2004","5.31"
"April 2004","5.56"
"May 2004","5.82"
"June 2004","6.06"
"July 2004","6.10"
"August 2004","5.97"
"September 2004","5.94"
"October 2004","5.95"
"November 2004","5.87"
"December 2004","5.69"
"January 2005","5.60"
"February 2005","5.59"
"March 2005","5.60"
"April 2005","5.67"
"May 2005","5.55"
"June 2005","5.31"
"July 2005","5.26"
"August 2005","5.32"
"September 2005","5.30"
"October 2005","5.39"
"November 2005","5.56"
"December 2005","5.60"
"January 2006","5.65"
"February 2006","5.75"
"March 2006","5.78"
"April 2006","5.88"
"May 2006","6.05"
"June 2006","6.12"
"July 2006","6.26"
"August 2006","6.24"
"September 2006","6.13"
"October 2006","6.01"
"November 2006","5.99"
"December 2006","5.89"
"January 2007","5.91"
"February 2007","6.00"
"March 2007","5.91"
"April 2007","5.92"
"May 2007","6.01"
"June 2007","6.51"
"July 2007","6.60"
"August 2007","6.62"
"September 2007","6.61"
"October 2007","6.69"
"November 2007","6.73"
"December 2007","6.75"
"January 2008","6.81"
"February 2008","6.72"
"March 2008","6.60"
"April 2008","6.40"
"May 2008","6.21"
"June 2008","6.20"
"July 2008","6.37"
"August 2008","6.25"
"September 2008","6.16"
"October 2008","6.46"
"November 2008","6.51"
"December 2008","6.17"
"January 2009","5.78"
"February 2009","5.28"
"March 2009","5.14"
"April 2009","4.79"
"May 2009","4.62"
"June 2009","4.90"
"July 2009","5.14"
"August 2009","5.13"
"September 2009","4.97"
"October 2009","5.00"
"November 2009","5.06"
"December 2009","4.83"
"January 2010","4.80"
"February 2010","4.73"
"March 2010","4.71"
"April 2010","5.15"
"May 2010","5.30"
"June 2010","5.18"
"July 2010","5.02"
"August 2010","4.82"
"September 2010","4.60"
"October 2010","4.52"
"November 2010","4.45"
"December 2010","4.50"
"January 2011","4.55"
"February 2011","4.68"
"March 2011","4.70"
"April 2011","4.87"
"May 2011","4.83"
"June 2011","4.60"
"July 2011","4.57"
"August 2011","4.52"
"September 2011","4.42"
"October 2011","4.35"
"November 2011","4.38"
"December 2011","4.36"
"January 2012","4.31"
"February 2012","4.23"
"March 2012","4.21"
"April 2012","4.36"
"May 2012","4.35"
"June 2012","4.25"
"July 2012","4.23"
"August 2012","4.23"
"September 2012","4.20"
"October 2012","4.17"
"November 2012","4.15"
"December 2012","4.15"
"January 2013","4.14"
"February 2013","4.11"
"March 2013","4.02"
"April 2013","4.02"
"May 2013","4.02"
"June 2013","4.00"
"July 2013","4.08"
"August 2013","4.14"
"September 2013","4.33"
"October 2013","4.40"
"November 2013","4.39"
"December 2013","4.39"
"January 2014","4.38"
"February 2014","4.32"
"March 2014","4.16"
"April 2014","4.02"
"May 2014","4.02"
"June 2014","4.00"
"July 2014","4.01"
"August 2014","4.01"
"September 2014","4.02"
"October 2014","4.00"
"November 2014","4.00"
"December 2014","3.98"
"January 2015","3.96"
"February 2015","3.91"
"March 2015","3.84"
"April 2015","3.76"
"May 2015","3.74"
"June 2015","3.72"
"July 2015","3.71"
"August 2015","3.71"
"September 2015","3.71"
"October 2015","3.72"
"November 2015","3.72"
"December 2015","3.75"
"January 2016","3.76"
"February 2016","3.75"
"March 2016","3.73"
"April 2016","3.70"
"May 2016","3.67"
"June 2016","3.66"
"July 2016","3.67"
"August 2016","3.68"
"September 2016","3.67"
"October 2016","3.68"
"November 2016","3.70"
"December 2016","3.74"
"January 2017","3.73"
"February 2017","3.75"
"March 2017","3.66"
"April 2017","3.62"
"May 2017","3.59"
"June 2017","3.60"
"July 2017","3.72"
"August 2017","3.82"
"September 2017","3.89"
"October 2017","3.98"
"November 2017","4.04"
"December 2017","4.07"
"January 2018","4.14"
"February 2018","4.26"
"March 2018","4.27"
"April 2018","4.27"
"May 2018","4.35"
"June 2018","4.32"
"July 2018","4.42"
"August 2018","4.43"
"September 2018","4.43"
"October 2018","4.48"
"November 2018","4.38"
"December 2018","4.59"
"January 2019","4.59"
"February 2019","4.52"
"March 2019","4.44"
"April 2019","4.33"
"May 2019","4.30"
"June 2019","4.23"
"July 2019","4.14"
"August 2019","4.08"
"September 2019","4.07"
"October 2019","4.09"
"November 2019","4.09"
"December 2019","4.08"
"January 2020","4.08"
"February 2020","4.08"

Symbol legend:

Footnotes:
1,"Geographical areas modified every 5 years to reflect most recent census definitions, therefore, data are not strictly comparable historically."
2,These data are obtained from Canada Mortgage and Housing Corporation (CMHC) and are provided subject to CMHC's End-Use License Agreement.
3,
"How to cite: Statistics Canada. Table 34-10-0145-01 Canada Mortgage and Housing Corporation, conventional mortgage lending rate, 5-year term"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410014501
DOI: https://doi.org/10.25318/3410014501-eng