neighborhoud_id,neighborhoud_name,shape id,point id,longitude,latitude,,,,,,,,,
3,Dunbar,0,0,-123.2032097,49.25818845,,,,,,,,,
3,Dunbar,0,1,-123.2031453,49.25740419,,,,,,,,,
3,Dunbar,0,2,-123.2029951,49.25671796,,,,,,,,,
3,Dunbar,0,3,-123.1965578,49.25664794,,,,,,,,,
3,Dunbar,0,4,-123.1965793,49.25478526,,,,,,,,,
3,Dunbar,0,5,-123.1966866,49.25044342,,,,,,,,,
3,Dunbar,0,6,-123.2049263,49.24926685,,,,,,,,,
3,Dunbar,0,7,-123.199004,49.24624126,,,,,,,,,
3,Dunbar,0,8,-123.1967724,49.24624126,,,,,,,,,
3,Dunbar,0,9,-123.1967076,49.23489621,,,,,,,,,
3,Dunbar,0,10,-123.1957634,49.23461599,,,,,,,,,
3,Dunbar,0,11,-123.1852921,49.23478413,,,,,,,,,
3,Dunbar,0,12,-123.1853126,49.23219507,,,,,,,,,
3,Dunbar,0,13,-123.1787465,49.23215303,,,,,,,,,
3,Dunbar,0,14,-123.1786199,49.25001619,,,,,,,,,
3,Dunbar,0,15,-123.1721266,49.25003653,,,,,,,,,
3,Dunbar,0,16,-123.1728133,49.25090494,,,,,,,,,
3,Dunbar,0,17,-123.1741865,49.2519274,,,,,,,,,
3,Dunbar,0,18,-123.1753023,49.25283079,,,,,,,,,
3,Dunbar,0,19,-123.1760733,49.25342002,,,,,,,,,
3,Dunbar,0,20,-123.176438,49.25397324,,,,,,,,,
3,Dunbar,0,21,-123.1766741,49.25432338,,,,,,,,,
3,Dunbar,0,22,-123.1766955,49.25468752,,,,,,,,,
3,Dunbar,0,23,-123.1772856,49.25503065,,,,,,,,,
3,Dunbar,0,24,-123.1804828,49.25790865,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,0,-123.180513,49.25793582,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,1,-123.1773373,49.25505082,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,2,-123.1766721,49.25467267,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,3,-123.1766721,49.25430853,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,4,-123.1760713,49.25345419,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,5,-123.1728036,49.25088554,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,6,-123.1721277,49.25003815,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,7,-123.1786186,49.25003294,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,8,-123.1786615,49.24234267,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,9,-123.1467975,49.24200645,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,10,-123.1468404,49.2433653,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,11,-123.1490506,49.2464471,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,12,-123.1488868,49.24969166,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,13,-123.1499597,49.25001382,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,14,-123.1512472,49.25079818,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,15,-123.1521484,49.25130242,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,16,-123.1530282,49.25159655,,,,,,,,,
4,Arbutus Ridge-Mackenzie Heights,1,17,-123.1529209,49.25728399,,,,,,,,,
8,Shaughnessy,2,0,-123.1528743,49.25731199,,,,,,,,,
8,Shaughnessy,2,1,-123.1387122,49.25705991,,,,,,,,,
8,Shaughnessy,2,2,-123.137296,49.25770412,,,,,,,,,
8,Shaughnessy,2,3,-123.1361373,49.25798421,,,,,,,,,
8,Shaughnessy,2,4,-123.1339486,49.25784417,,,,,,,,,
8,Shaughnessy,2,5,-123.1318458,49.25717195,,,,,,,,,
8,Shaughnessy,2,6,-123.1272109,49.25705991,,,,,,,,,
8,Shaughnessy,2,7,-123.1280263,49.23394674,,,,,,,,,
8,Shaughnessy,2,8,-123.1553205,49.23459126,,,,,,,,,
8,Shaughnessy,2,9,-123.1551488,49.23830405,,,,,,,,,
8,Shaughnessy,2,10,-123.1442698,49.23813593,,,,,,,,,
8,Shaughnessy,2,11,-123.1440981,49.24194652,,,,,,,,,
8,Shaughnessy,2,12,-123.1468018,49.24200256,,,,,,,,,
8,Shaughnessy,2,13,-123.1468447,49.24338943,,,,,,,,,
8,Shaughnessy,2,14,-123.1490548,49.2464292,,,,,,,,,
8,Shaughnessy,2,15,-123.1488832,49.24970689,,,,,,,,,
8,Shaughnessy,2,16,-123.1499131,49.25000104,,,,,,,,,
8,Shaughnessy,2,17,-123.1521018,49.25131765,,,,,,,,,
8,Shaughnessy,2,18,-123.153003,49.25158377,,,,,,,,,
5,Kerrisdale,3,0,-123.1786675,49.24234879,,,,,,,,,
5,Kerrisdale,3,1,-123.1787104,49.23473437,,,,,,,,,
5,Kerrisdale,3,2,-123.1757385,49.23474838,,,,,,,,,
5,Kerrisdale,3,3,-123.1758458,49.2310143,,,,,,,,,
5,Kerrisdale,3,4,-123.1629001,49.23095825,,,,,,,,,
5,Kerrisdale,3,5,-123.163024,49.22724708,,,,,,,,,
5,Kerrisdale,3,6,-123.149483,49.22709346,,,,,,,,,
5,Kerrisdale,3,7,-123.1492148,49.23446385,,,,,,,,,
5,Kerrisdale,3,8,-123.1553326,49.23458678,,,,,,,,,
5,Kerrisdale,3,9,-123.1551503,49.2383108,,,,,,,,,
5,Kerrisdale,3,10,-123.1442637,49.23813535,,,,,,,,,
5,Kerrisdale,3,11,-123.1441135,49.24194471,,,,,,,,,
6,Southlands,4,0,-123.1967315,49.23491798,,,,,,,,,
6,Southlands,4,1,-123.196989,49.23050433,,,,,,,,,
6,Southlands,4,2,-123.1947789,49.22981772,,,,,,,,,
6,Southlands,4,3,-123.1910882,49.22831837,,,,,,,,,
6,Southlands,4,4,-123.1911954,49.22085796,,,,,,,,,
6,Southlands,4,5,-123.1900833,49.22062207,,,,,,,,,
6,Southlands,4,6,-123.1886885,49.21969706,,,,,,,,,
6,Southlands,4,7,-123.1880662,49.21943077,,,,,,,,,
6,Southlands,4,8,-123.1867573,49.21853378,,,,,,,,,
6,Southlands,4,9,-123.1852338,49.21781898,,,,,,,,,
6,Southlands,4,10,-123.1811783,49.21624918,,,,,,,,,
6,Southlands,4,11,-123.1771228,49.21599689,,,,,,,,,
6,Southlands,4,12,-123.174226,49.21598287,,,,,,,,,
6,Southlands,4,13,-123.1702778,49.21595484,,,,,,,,,
6,Southlands,4,14,-123.1674454,49.21533811,,,,,,,,,
6,Southlands,4,15,-123.1620166,49.21362807,,,,,,,,,
6,Southlands,4,16,-123.1600425,49.21310943,,,,,,,,,
6,Southlands,4,17,-123.1578967,49.21193198,,,,,,,,,
6,Southlands,4,18,-123.1571672,49.2113152,,,,,,,,,
6,Southlands,4,19,-123.1560728,49.21065637,,,,,,,,,
6,Southlands,4,20,-123.1544206,49.20953493,,,,,,,,,
6,Southlands,4,21,-123.1529615,49.20793683,,,,,,,,,
6,Southlands,4,22,-123.1511805,49.20636672,,,,,,,,,
6,Southlands,4,23,-123.1505368,49.20604428,,,,,,,,,
6,Southlands,4,24,-123.1491206,49.20741814,,,,,,,,,
6,Southlands,4,25,-123.1492976,49.20750926,,,,,,,,,
6,Southlands,4,26,-123.1491313,49.20779664,,,,,,,,,
6,Southlands,4,27,-123.1490615,49.20822771,,,,,,,,,
6,Southlands,4,28,-123.1489328,49.20853612,,,,,,,,,
6,Southlands,4,29,-123.148788,49.20875691,,,,,,,,,
6,Southlands,4,30,-123.1482622,49.20901275,,,,,,,,,
6,Southlands,4,31,-123.1479748,49.20882043,,,,,,,,,
6,Southlands,4,32,-123.1474276,49.20863468,,,,,,,,,
6,Southlands,4,33,-123.1466927,49.20857511,,,,,,,,,
6,Southlands,4,34,-123.1444504,49.20857511,,,,,,,,,
6,Southlands,4,35,-123.1546696,49.22719512,,,,,,,,,
6,Southlands,4,36,-123.1630221,49.22724733,,,,,,,,,
6,Southlands,4,37,-123.1629032,49.23095965,,,,,,,,,
6,Southlands,4,38,-123.1758447,49.23102358,,,,,,,,,
6,Southlands,4,39,-123.1757482,49.23476467,,,,,,,,,
6,Southlands,4,40,-123.1787201,49.23475066,,,,,,,,,
6,Southlands,4,41,-123.1787308,49.23215154,,,,,,,,,
6,Southlands,4,42,-123.18531,49.23220058,,,,,,,,,
6,Southlands,4,43,-123.1852886,49.23479269,,,,,,,,,
6,Southlands,4,44,-123.1957516,49.23462975,,,,,,,,,
10,South Granville,5,0,-123.1546522,49.22717906,,,,,,,,,
10,South Granville,5,1,-123.1477216,49.21454339,,,,,,,,,
10,South Granville,5,2,-123.1409732,49.2144663,,,,,,,,,
10,South Granville,5,3,-123.1409786,49.21494988,,,,,,,,,
10,South Granville,5,4,-123.1403134,49.21493586,,,,,,,,,
10,South Granville,5,5,-123.1402473,49.21737119,,,,,,,,,
10,South Granville,5,6,-123.1395177,49.21716095,,,,,,,,,
10,South Granville,5,7,-123.139507,49.2173782,,,,,,,,,
10,South Granville,5,8,-123.1293016,49.21711261,,,,,,,,,
10,South Granville,5,9,-123.1286363,49.21866514,,,,,,,,,
10,South Granville,5,10,-123.1284754,49.22326421,,,,,,,,,
10,South Granville,5,11,-123.1280355,49.23395954,,,,,,,,,
10,South Granville,5,12,-123.1492175,49.23445801,,,,,,,,,
10,South Granville,5,13,-123.1494709,49.22708208,,,,,,,,,
12,Marpole,6,0,-123.1477245,49.21454383,,,,,,,,,
12,Marpole,6,1,-123.1444513,49.20857431,,,,,,,,,
12,Marpole,6,2,-123.1441503,49.20790667,,,,,,,,,
12,Marpole,6,3,-123.1435926,49.20682794,,,,,,,,,
12,Marpole,6,4,-123.1434183,49.2065791,,,,,,,,,
12,Marpole,6,5,-123.1431125,49.20626367,,,,,,,,,
12,Marpole,6,6,-123.1420933,49.20540675,,,,,,,,,
12,Marpole,6,7,-123.141325,49.20477161,,,,,,,,,
12,Marpole,6,8,-123.14103,49.2045473,,,,,,,,,
12,Marpole,6,9,-123.1405633,49.20427216,,,,,,,,,
12,Marpole,6,10,-123.1401861,49.20410777,,,,,,,,,
12,Marpole,6,11,-123.1388584,49.20370295,,,,,,,,,
12,Marpole,6,12,-123.1375656,49.20329988,,,,,,,,,
12,Marpole,6,13,-123.1362567,49.20283547,,,,,,,,,
12,Marpole,6,14,-123.1358517,49.20270753,,,,,,,,,
12,Marpole,6,15,-123.1356183,49.20265496,,,,,,,,,
12,Marpole,6,16,-123.135283,49.20260939,,,,,,,,,
12,Marpole,6,17,-123.1348244,49.20259362,,,,,,,,,
12,Marpole,6,18,-123.1350792,49.20295639,,,,,,,,,
12,Marpole,6,19,-123.1337488,49.2034576,,,,,,,,,
12,Marpole,6,20,-123.1318981,49.20423395,,,,,,,,,
12,Marpole,6,21,-123.130439,49.20476494,,,,,,,,,
12,Marpole,6,22,-123.1303934,49.20623347,,,,,,,,,
12,Marpole,6,23,-123.1275395,49.20620893,,,,,,,,,
12,Marpole,6,24,-123.1275502,49.20576032,,,,,,,,,
12,Marpole,6,25,-123.1204284,49.20874283,,,,,,,,,
12,Marpole,6,26,-123.1153913,49.2109717,,,,,,,,,
12,Marpole,6,27,-123.1135244,49.21142377,,,,,,,,,
12,Marpole,6,28,-123.1113572,49.21190037,,,,,,,,,
12,Marpole,6,29,-123.1097693,49.21239098,,,,,,,,,
12,Marpole,6,30,-123.1085355,49.21252415,,,,,,,,,
12,Marpole,6,31,-123.1073124,49.2124891,,,,,,,,,
12,Marpole,6,32,-123.10654,49.212405,,,,,,,,,
12,Marpole,6,33,-123.1062503,49.21683429,,,,,,,,,
12,Marpole,6,34,-123.1168396,49.21693941,,,,,,,,,
12,Marpole,6,35,-123.1292851,49.21712162,,,,,,,,,
12,Marpole,6,36,-123.1395097,49.21739493,,,,,,,,,
12,Marpole,6,37,-123.1395097,49.21716367,,,,,,,,,
12,Marpole,6,38,-123.14025,49.21738091,,,,,,,,,
12,Marpole,6,39,-123.1403251,49.21493507,,,,,,,,,
12,Marpole,6,40,-123.1409903,49.21494909,,,,,,,,,
12,Marpole,6,41,-123.1409688,49.21447252,,,,,,,,,
11,Oakridge,7,0,-123.1292917,49.21712354,,,,,,,,,
11,Oakridge,7,1,-123.1286265,49.21867929,,,,,,,,,
11,Oakridge,7,2,-123.1280386,49.23395935,,,,,,,,,
11,Oakridge,7,3,-123.116209,49.23356302,,,,,,,,,
11,Oakridge,7,4,-123.1056519,49.2331707,,,,,,,,,
11,Oakridge,7,5,-123.1062434,49.21682875,,,,,,,,,
17,South Vancouver,8,0,-123.1059237,49.22574345,,,,,,,,,
17,South Vancouver,8,1,-123.106246,49.21683335,,,,,,,,,
17,South Vancouver,8,2,-123.1065374,49.21240822,,,,,,,,,
17,South Vancouver,8,3,-123.1010363,49.21079376,,,,,,,,,
17,South Vancouver,8,4,-123.0992495,49.21080865,,,,,,,,,
17,South Vancouver,8,5,-123.0961452,49.21101274,,,,,,,,,
17,South Vancouver,8,6,-123.0743442,49.21106881,,,,,,,,,
17,South Vancouver,8,7,-123.0720483,49.21101274,,,,,,,,,
17,South Vancouver,8,8,-123.0719563,49.21996152,,,,,,,,,
17,South Vancouver,8,9,-123.070347,49.2199405,,,,,,,,,
17,South Vancouver,8,10,-123.0700949,49.21998955,,,,,,,,,
17,South Vancouver,8,11,-123.0691614,49.22036446,,,,,,,,,
17,South Vancouver,8,12,-123.0662003,49.2203084,,,,,,,,,
17,South Vancouver,8,13,-123.0658462,49.22073235,,,,,,,,,
17,South Vancouver,8,14,-123.0657872,49.22518309,,,,,,,,,
16,Main & Fraser,9,0,-123.1059235,49.22575423,,,,,,,,,
16,Main & Fraser,9,1,-123.1050053,49.2488479,,,,,,,,,
16,Main & Fraser,9,2,-123.0826569,49.24855368,,,,,,,,,
16,Main & Fraser,9,3,-123.0827857,49.24023975,,,,,,,,,
16,Main & Fraser,9,4,-123.0834723,49.24022575,,,,,,,,,
16,Main & Fraser,9,5,-123.0836118,49.23644844,,,,,,,,,
16,Main & Fraser,9,6,-123.0824745,49.23645545,,,,,,,,,
16,Main & Fraser,9,7,-123.082691,49.22905861,,,,,,,,,
16,Main & Fraser,9,8,-123.083839,49.22908664,,,,,,,,,
16,Main & Fraser,9,9,-123.0838712,49.22545171,,,,,,,,,
9,Cambie,10,0,-123.1280239,49.23396134,,,,,,,,,
9,Cambie,10,1,-123.1272275,49.25706784,,,,,,,,,
9,Cambie,10,2,-123.1049115,49.25661968,,,,,,,,,
9,Cambie,10,3,-123.1050188,49.25466597,,,,,,,,,
9,Cambie,10,4,-123.1047613,49.25419679,,,,,,,,,
9,Cambie,10,5,-123.1056422,49.233187,,,,,,,,,
18,Marine Drive,11,0,-123.1444584,49.208594,,,,,,,,,
18,Marine Drive,11,1,-123.1468617,49.20857297,,,,,,,,,
18,Marine Drive,11,2,-123.1474625,49.20862904,,,,,,,,,
18,Marine Drive,11,3,-123.1479989,49.2088253,,,,,,,,,
18,Marine Drive,11,4,-123.1482564,49.20900754,,,,,,,,,
18,Marine Drive,11,5,-123.1487392,49.20875521,,,,,,,,,
18,Marine Drive,11,6,-123.1489645,49.20853091,,,,,,,,,
18,Marine Drive,11,7,-123.1490933,49.20797017,,,,,,,,,
18,Marine Drive,11,8,-123.1492757,49.20750755,,,,,,,,,
18,Marine Drive,11,9,-123.1491469,49.20743045,,,,,,,,,
18,Marine Drive,11,10,-123.1505309,49.20602154,,,,,,,,,
18,Marine Drive,11,11,-123.1498228,49.20572013,,,,,,,,,
18,Marine Drive,11,12,-123.1493615,49.2064281,,,,,,,,,
18,Marine Drive,11,13,-123.1491791,49.20601453,,,,,,,,,
18,Marine Drive,11,14,-123.1469046,49.20494906,,,,,,,,,
18,Marine Drive,11,15,-123.1432783,49.20353308,,,,,,,,,
18,Marine Drive,11,16,-123.1432783,49.2032667,,,,,,,,,
18,Marine Drive,11,17,-123.1405214,49.20177082,,,,,,,,,
18,Marine Drive,11,18,-123.1409828,49.20109784,,,,,,,,,
18,Marine Drive,11,19,-123.134803,49.19987803,,,,,,,,,
18,Marine Drive,11,20,-123.1319062,49.1997869,,,,,,,,,
18,Marine Drive,11,21,-123.1305114,49.19988504,,,,,,,,,
18,Marine Drive,11,22,-123.1153945,49.20487624,,,,,,,,,
18,Marine Drive,11,23,-123.1123696,49.20531785,,,,,,,,,
18,Marine Drive,11,24,-123.1039213,49.20484647,,,,,,,,,
18,Marine Drive,11,25,-123.0951653,49.20507255,,,,,,,,,
18,Marine Drive,11,26,-123.0912349,49.20566137,,,,,,,,,
18,Marine Drive,11,27,-123.0865333,49.20695112,,,,,,,,,
18,Marine Drive,11,28,-123.0778751,49.20814973,,,,,,,,,
18,Marine Drive,11,29,-123.0753431,49.20876654,,,,,,,,,
18,Marine Drive,11,30,-123.0725965,49.20824786,,,,,,,,,
18,Marine Drive,11,31,-123.0687878,49.20714739,,,,,,,,,
18,Marine Drive,11,32,-123.0668137,49.2063413,,,,,,,,,
18,Marine Drive,11,33,-123.0634389,49.2055565,,,,,,,,,
18,Marine Drive,11,34,-123.0610141,49.20559155,,,,,,,,,
18,Marine Drive,11,35,-123.0565157,49.20513592,,,,,,,,,
18,Marine Drive,11,36,-123.0422786,49.20498872,,,,,,,,,
18,Marine Drive,11,37,-123.0320729,49.20264658,,,,,,,,,
18,Marine Drive,11,38,-123.0269747,49.20192155,,,,,,,,,
18,Marine Drive,11,39,-123.022991,49.20103333,,,,,,,,,
18,Marine Drive,11,40,-123.0236738,49.20822379,,,,,,,,,
18,Marine Drive,11,41,-123.027783,49.20781024,,,,,,,,,
18,Marine Drive,11,42,-123.0301219,49.20799249,,,,,,,,,
18,Marine Drive,11,43,-123.0331474,49.208378,,,,,,,,,
18,Marine Drive,11,44,-123.035776,49.20842005,,,,,,,,,
18,Marine Drive,11,45,-123.03819,49.20818174,,,,,,,,,
18,Marine Drive,11,46,-123.0391556,49.20787333,,,,,,,,,
18,Marine Drive,11,47,-123.0408733,49.20823781,,,,,,,,,
18,Marine Drive,11,48,-123.0454121,49.20783127,,,,,,,,,
18,Marine Drive,11,49,-123.0569005,49.20711186,,,,,,,,,
18,Marine Drive,11,50,-123.0567932,49.20578706,,,,,,,,,
18,Marine Drive,11,51,-123.0593144,49.20592002,,,,,,,,,
18,Marine Drive,11,52,-123.0622112,49.20640368,,,,,,,,,
18,Marine Drive,11,53,-123.0712556,49.20897611,,,,,,,,,
18,Marine Drive,11,54,-123.07132,49.2109877,,,,,,,,,
18,Marine Drive,11,55,-123.0742919,49.21104378,,,,,,,,,
18,Marine Drive,11,56,-123.0794769,49.21105078,,,,,,,,,
18,Marine Drive,11,57,-123.0961839,49.21100873,,,,,,,,,
18,Marine Drive,11,58,-123.0991344,49.21081248,,,,,,,,,
18,Marine Drive,11,59,-123.1010227,49.21079846,,,,,,,,,
18,Marine Drive,11,60,-123.1065521,49.21242126,,,,,,,,,
18,Marine Drive,11,61,-123.1084511,49.21254742,,,,,,,,,
18,Marine Drive,11,62,-123.1097493,49.21240024,,,,,,,,,
18,Marine Drive,11,63,-123.1113264,49.21190963,,,,,,,,,
18,Marine Drive,11,64,-123.1153524,49.21097745,,,,,,,,,
18,Marine Drive,11,65,-123.1232578,49.20752242,,,,,,,,,
18,Marine Drive,11,66,-123.1275601,49.20574901,,,,,,,,,
18,Marine Drive,11,67,-123.1275601,49.20622566,,,,,,,,,
18,Marine Drive,11,68,-123.1303925,49.20623267,,,,,,,,,
18,Marine Drive,11,69,-123.1304676,49.20475363,,,,,,,,,
18,Marine Drive,11,70,-123.1350381,49.20296611,,,,,,,,,
18,Marine Drive,11,71,-123.1348235,49.20257355,,,,,,,,,
18,Marine Drive,11,72,-123.1355638,49.20264365,,,,,,,,,
18,Marine Drive,11,73,-123.1407565,49.20431202,,,,,,,,,
18,Marine Drive,11,74,-123.1432456,49.20638688,,,,,,,,,
25,Fraserview,12,0,-123.0720375,49.21100783,,,,,,,,,
25,Fraserview,12,1,-123.0713079,49.21099381,,,,,,,,,
25,Fraserview,12,2,-123.0712865,49.20899624,,,,,,,,,
25,Fraserview,12,3,-123.0621725,49.20639972,,,,,,,,,
25,Fraserview,12,4,-123.0592864,49.20591606,,,,,,,,,
25,Fraserview,12,5,-123.0568081,49.2058039,,,,,,,,,
25,Fraserview,12,6,-123.0568939,49.2071217,,,,,,,,,
25,Fraserview,12,7,-123.0451201,49.20785609,,,,,,,,,
25,Fraserview,12,8,-123.0423628,49.20810142,,,,,,,,,
25,Fraserview,12,9,-123.0408393,49.20823459,,,,,,,,,
25,Fraserview,12,10,-123.0391549,49.20789114,,,,,,,,,
25,Fraserview,12,11,-123.0381464,49.20817852,,,,,,,,,
25,Fraserview,12,12,-123.0357324,49.20843786,,,,,,,,,
25,Fraserview,12,13,-123.0331575,49.20837478,,,,,,,,,
25,Fraserview,12,14,-123.03025,49.20799628,,,,,,,,,
25,Fraserview,12,15,-123.0277501,49.20780002,,,,,,,,,
25,Fraserview,12,16,-123.023641,49.20819254,,,,,,,,,
25,Fraserview,12,17,-123.024156,49.2103934,,,,,,,,,
25,Fraserview,12,18,-123.0237697,49.21220168,,,,,,,,,
25,Fraserview,12,19,-123.0235307,49.22520688,,,,,,,,,
25,Fraserview,12,20,-123.0322369,49.2252208,,,,,,,,,
25,Fraserview,12,21,-123.0323979,49.22008825,,,,,,,,,
25,Fraserview,12,22,-123.0662023,49.22030866,,,,,,,,,
25,Fraserview,12,23,-123.0691467,49.22036472,,,,,,,,,
25,Fraserview,12,24,-123.0701123,49.21996529,,,,,,,,,
25,Fraserview,12,25,-123.0703376,49.21993025,,,,,,,,,
25,Fraserview,12,26,-123.0719576,49.21996529,,,,,,,,,
24,Killarney,13,0,-123.0661965,49.2203108,,,,,,,,,
24,Killarney,13,1,-123.0658478,49.22073301,,,,,,,,,
24,Killarney,13,2,-123.0657907,49.22520359,,,,,,,,,
24,Killarney,13,3,-123.0655136,49.23286158,,,,,,,,,
24,Killarney,13,4,-123.0486802,49.23279752,,,,,,,,,
24,Killarney,13,5,-123.0465988,49.23295165,,,,,,,,,
24,Killarney,13,6,-123.038638,49.23293764,,,,,,,,,
24,Killarney,13,7,-123.0369643,49.23317583,,,,,,,,,
24,Killarney,13,8,-123.0358914,49.23414261,,,,,,,,,
24,Killarney,13,9,-123.031793,49.23204089,,,,,,,,,
24,Killarney,13,10,-123.0233553,49.23227796,,,,,,,,,
24,Killarney,13,11,-123.0235269,49.22521554,,,,,,,,,
24,Killarney,13,12,-123.0322417,49.22522148,,,,,,,,,
24,Killarney,13,13,-123.0323919,49.22010198,,,,,,,,,
19,Knight,14,0,-123.0657879,49.22518151,,,,,,,,,
19,Knight,14,1,-123.0838841,49.22544027,,,,,,,,,
19,Knight,14,2,-123.0838412,49.2290932,,,,,,,,,
19,Knight,14,3,-123.0826878,49.22905817,,,,,,,,,
19,Knight,14,4,-123.082479,49.23647124,,,,,,,,,
19,Knight,14,5,-123.0836056,49.23645023,,,,,,,,,
19,Knight,14,6,-123.0834554,49.24022593,,,,,,,,,
19,Knight,14,7,-123.0827794,49.24024694,,,,,,,,,
19,Knight,14,8,-123.0826493,49.24856201,,,,,,,,,
19,Knight,14,9,-123.0722691,49.24842795,,,,,,,,,
19,Knight,14,10,-123.0650962,49.24513134,,,,,,,,,
23,Collingwood,15,0,-123.0655209,49.23287285,,,,,,,,,
23,Collingwood,15,1,-123.0650866,49.24516174,,,,,,,,,
23,Collingwood,15,2,-123.0650437,49.25138414,,,,,,,,,
23,Collingwood,15,3,-123.0604517,49.24998349,,,,,,,,,
23,Collingwood,15,4,-123.0469763,49.24460462,,,,,,,,,
23,Collingwood,15,5,-123.0236733,49.24453458,,,,,,,,,
23,Collingwood,15,6,-123.0233729,49.23228284,,,,,,,,,
23,Collingwood,15,7,-123.0317791,49.23204934,,,,,,,,,
23,Collingwood,15,8,-123.0358882,49.23414406,,,,,,,,,
23,Collingwood,15,9,-123.0369504,49.23317728,,,,,,,,,
23,Collingwood,15,10,-123.0386455,49.23292507,,,,,,,,,
23,Collingwood,15,11,-123.0466135,49.23297411,,,,,,,,,
23,Collingwood,15,12,-123.0487163,49.23281999,,,,,,,,,
